review,label
Should have listened to the reviews. The bill is half the size in length of a regular baseball cap.,0
"Worked for about 6 months then just stopped working power will not turn on, speakers started going about a month before it completely went out",0
Fan on light is loud but great quality light overall for the price I would recommend it,1
"just not enough raisin temp to be useful, maybe my pool was too large",0
i had them for less than a month and one by one they all just stopped working and my phone would say “accessory is not supported”,0
My gf loved them while I gifted yes her first set of dice. Affordable and a great look.,1
"the antena booster work as intended, landing gear is good, but the visor cause problem for gimbal if u using push on lense",1
"I purchased this exhaust to replace an old Broan that sounded like an airplane. While this unit is not completely silent, it Is a very low sounding extractor. Verify your measurements before you purchase. My electrician had to work pretty hard to install this unit. Overall, I am very pleased.",1
The suction cups suck. They don’t work. Net part is fine with suction cups I bought separate,0
"The product did not ship with a cool pack, but arrived in good shape anyway. I counted the candy and was disappointed to find that one bag of peanut M&M's was missing and substituted with an extra bag of Skittles. I never intended to eat the Skittles, so it looks like my coworkers will be getting an extra bag of candy. All in all, I thought it would be cheaper than buying the candy bars individually, but after giving away the Skittles, it actually isn't much of a savings, so I won't be buying this package again.",1
The enter key is alittle small but you adjust to it eventually. for the price it's a good deal. the enter key needs to be bigger and hopefully in the future not as loud.,1
"Pros: Easy assembly, about 20mins with 2 people. Directions good. Looks nice and very sturdy when all assembled. Cons: Some small scratches on metal frame. Some discoloration on wooden slates but easily hidden with a furniture marker. A couple of minor warped slates.",1
Does not cook the stuff uniformly and tends to burn the bread.,0
"Now it just sprays non-stop. It is easy to clean and was easy to assemble, but I didnt expect it to be disposable. Disappointed. Its suppose to have a warranty, but not sure I would even want another one. Luckily and unfortunately, it was cheap.",0
Material was not what expected,0
"I don’t like this screen protector. Although it does add grip to the screen, it also makes the screen loom fuzzier/pixelated when you look up close. I purchased this for the purpose of making more drawings and art but it seems to make the screen look lower quality and I don’t like how it looks",0
"First, the button for the crown only works to scroll. The watch didn't charge while it was the case. It actually lost power. The Philips head screwdriver could barely turn the the screw that holds the case tightly together because one of the legs of the ""+"" is missing. I have my own set of small screwdrivers so I was able to loosen and tighten the screw. To me the case took too much away from the watch functions for me.",0
Runs small (I wear a size 8 and the large that I ordered is tight) and is incredibly scratchy/itchy.,0
Good quality. Can cover more than two cards. Meet expectation.,1
"This is a well made device, much higher quality than the three previous cat feeders we've tried. The iOS app works well although the design is a little confusing at first. The portion control is good and the feeder mechanism has worked reliably. The camera provides a clear picture and it's great to be able to check remotely that the cat really is getting fed. Setup was relatively easy.",1
"Broke after 2 uses, not worth the money.",0
It takes to long to recharge it by power,1
I was worried that they wouldn't fit since most frames are too large for my face. These fit perfectly!,1
"They are not that bright, easy to install.",0
One of the screens arrived shattered already. Doesn’t exactly aspire to me trusting the product.,0
It doesn't even connect to my smartphone! But without smartphone it is absolutely useless.,0
Too complicated to set up and use! Request return instructions. Thanks.,0
"I love these shelves but I was pissed when I went to put them up. The metal washer covers don't fit over all the plastic washer. So, I was stuck leaving the ugly black plastic washers showing. Very upsetting. You can't tell this at first glance either unless you physically put the washers inside of a metal piece.",0
Has some small pebbles in it but it’s not made for consumption so I figured may have some in it.,1
"This product arrived quickly and packaged well, My family enjoys Smoothies as nutritious, fast meal replacements,I wanted to supply them with the tools needed to properly clean the straws that accompany their insulated Smoothie travel cups.This set is an affordable, quality product! Thank you!",1
"I have no idea of this thing works or not. After a hour of tried to just set it to go off, I finally gave up, put in in the box and sent it right back. I read the directions over and over. Sooo confusing.",0
Not tips. Full nails. Not good for what I wanted. But theres a lot of size choices.,0
"The steel rule I received is very inaccurate, I ordered it for accurate markings. I never write negative reviews , but this rule is really bad. I checked against calipers and a rule I know is correct. It does make a fair straight edge.",0
Just okay but fits decently,1
It just doesnt look like picture. The picture looks tightly gathered and beautifully ruffled. I've had it awhile now and I'm going to take it off bed and try to do some sewing to it and see if I can fix it. I probably should have returned it right away but it's too late now and I think with some adjustments I can make it work.,0
Very pretty and well made. It was just a little larger around than I wanted. I kept it anyway because it did serve the purpose.,1
I loooove the smell of this oil and its charms are potent as well. I wear this often as my regular scent. About to order my 3rd bottle. <3,1
I just had surgery on my shoulder AND my foot. This package could not be more perfect. I've been able to increase my range of motion and mobility in my arm because I can do the exercises at home and not just twice a week with the physical therapist. I plan on using these when I get back into the gym too.,1
Was snug for the size. I ordered larger size as well. Nicely made though.,1
I like the length it's not to long and also that it has 3 pockets.,1
"Fit a little more snug than I expected after reading other reviews, but still happy with my purchase. Update: Right after my original review two small holes on the shoulder seam appeared. I wouldn’t buy this again.",0
"It came triple wrapped in bubble wrap, outside and inside the box. There was one broken one, but a few drops of alcohol fixed that. Shipping was on time. I'll update once I've worn them.",1
The product suppose to come with the leash Leash is missing,0
