review,label
"Protector pésimo que no vale para nada. Primero de todo es que se va a llenar literalmente todo de burbujas, que cuesta una barbaridad de quitar. Después de quitar las burbujas viene lo más gracioso: La tableta funciona mal, porque hace que pierda contacto el lápiz con la tableta. Y por último, la facilidad de rallarse que al mínimo trazo con el lápiz el protector se ralla. Muy decepcionante. Una estafa.",0
"Buen producto, es tal y como se ve en la imagen.",1
"Un poquito grandes (pero el tamaño ya se sabe, 10cm diametro) aunque así se puede mantener la planta durante más tiempo en ella. Flexibles, como muestran en las fotos. Después de utilizarlas se pasan por agua y quedan como nuevas. Ligeras pero se mantienen muy bien",1
"El producto esta bien, pero para mi caso, un embarazo gemelar no me aguanta nada, te lo pones y es como si no te hubieras puesto nada,",0
this is heavy. the tripod isn't that great and actually is the heaviest part.,0
"El aparato funciona bien refresca rápido si la habitación no es superior a lo que pone que enfría.No hace ruido excesivo pero no lo e probado para dormir hace unas horas que lo tengo ,de momento buena compra",1
"No ha durado ni mes y medio, en este plazo de tiempo ha dejado de funcionar sin mas. Ha sido un fracaso",0
Bien. Pero la falta de un poco más de información para la utilización. Sería importante,1
Para un niño de 1/2 años esta muy bien.trae ventanitas de fieltro q se abren.es de carton duro y muy colorido.por el precio esta super bien.le doy 4**** por que en la portada viene con una etiqueta del precio muy dificil de quitar,1
Attractive. Love the magnetic closing. Loop for Apple Pencil became loose. Now it falls out.,1
"He pedido dos y ninguna está bien, las tapas se quedan despegadas y la morada viene con fallo en la pintura, trozos sin pintar y que arañan... esperaba más para el precio que tienen...",0
"No estoy nada contenta con el producto, decían que no se oxidaba y después de 45 días, este es el resultado ,las cuatro canastas están oxidadas, compré dos y las dos están igual y el precio tampoco es barato, ya no lo puedo devolver porque ya es tarde me siento totalmente engañada como mínimo que no digan QUE NO SE OXIDA,MENTIRA",0
"I absolutely LOVE this face wash!! It cleanses deep in my pores, smells amazing, has such a rich lather with such little product. Has been helping with my acne so much in combination with some vitamin e oil, could not recommend it enough!!",1
"Con el primero que he comprado he tenido que seguir la instalación paso a paso en vez de la recomendada, pero al final lo he conseguido. Con el segundo lo conseguí a la primera. También es fácil vincularlo a Alexa y de momento no he tenido problemas de sincronización ni nada. Lo peor: la protección del enchufe es TAN alta que cuesta MUCHO enchufar un electrodoméstico a este aparato. Hay que ejercer la fuerza concreta en la posición adecuada para que entre. En el segundo no me ocurrió tanto. Además, hace bastante bulto y entorpece los otros enchufes o interruptores si no es único, pero al tener un botón de encendido es muy útil para conectar o desconectar aparatos que van a ras de suelo (estufas, calefactores, etc.). Malo: al ser un producto ajeno a Amazon se necesita una App adicional, pero no hay que usarla a menudo. Puedes usar ambas para abrir o cerrar los enchufes, aunque solo la app adicional permite programarlos (Alexa App no lo permite).",1
This thing is angled the wrong way. It makes you bend your wrist up in an unnatural position which is very fatiguing. Sent it back after using for less than an hour.,0
Cool for diy art & craft paper.,1
"Pesa demasiado (me la esperaba más liviana), es robusta.Aunque la muevas de sitio, los valores son los mismo.La sección de pilas viene con el clásico plástico para evitar que se vayan consumiendo en el viaje a casa.",1
"Me ha gustado el modelo, pero los enganches un poco sencillos.",1
El material no está mal son bastante comodas dentro de lo q hay en el mercado calidad precio están muy bien.,1
Como no encuentro donde poder mandar un mensaje lo voy a escribir por aquí me parece muy fuerte que devuelva un libro y que no sepa nada del reembolso o si me han ingresado en la cuenta algo que no hay nada alucinante,0
"Though the top was a tad big on me, it wasn't enough to kill the overall vibe and look of the swimsuit. The bottoms fit perfectly - which I expected. So, overall, I was pleased with the purchase. The quality is also very good - which at times with Amazon purchases, can be a hit or a miss. I am a proud customer.",1
"This works well, only issue is that it’s a little bit heavy",1
"Insert for between was hard to put in place. Once in, it was lumpy. May fall into place after use, but not as expected.",0
I am not sure how I feel about the mixed colors..they kind of make it hard to color nicely..some of the colors don't go together well,1
This is a very pretty blouse. Good quality. Good fit. I will buy another in another color.,1
Absolute garbage. Arrived defective. Does not work well at all. Terribly glitchy.,0
kinks no matter what,0
En perfectas condiciones. Entrega muy rápida. Producto muy recomendable y el precio más barato que en tiendas de su marca.,1
Me ha gustado mucho el tejido de las fundas y los colores dan un aspecto vintage,1
"Protegen muy bien del calor y son muy bonitos. Si tuviera que sacarle un defecto es que tienen un material que es como pegajoso para-con la suciedad, pelos y eso. Es decir: cuidado con que no se te caiga al suelo porque se llena enseguida.",1
"Es buena funda y funciona a la perfeccion, pero solo los 5 primeros meses, despues la pantalla de fuera deja de funcionar por completo",0
Loved it.. very tasty,1
"Buscaba algo más pequeño y económico pero dos compañeros me recomendaron este por la calidad de acabados y la variedad de conectores. La caja está bien y cuando se vayan acabando los más comunes iré recargando con pequeñas bolsitas, muy contento con el maletín",1
Son cartuchos compatibles y la impresora me lo reconoce perfectamente la calidad de la tinta es buena.,1
"encaja perfecto y se nota que el motor va ""mas suave"" en las revoluciones",1
"Bastante malo, no encajan las pegatinas entre si en ninguna esquina y los espacios se ensucian muy rapido, se levantan si no las aprietas bien y, la usas nada mas ponerlo si no usas el mando se levanta la pegatina. Compra decepcionante.",0
Junk.. absolute junk. It stopped working after two days. Picture quality sucks,0
My paper towels kept falling off,0
Buen encaje. Se ve robusta y fuerte. De momento perfecta.,1
lo único que no me ha gustado los 4 eur de gastos de envío. Demasiado para lo poco que abulta.,1
These fit almost perfectly in the bottom of the NuWave oven.,1
