review,label
"Nos encanta a toda la familia,todo un éxito . Superdivertido.",1
"Calidad tal como se espera, todo muy correcto",1
"Tras 6 meses de uso, la pantalla se ha vuelto loca y no reacciona. Llama sin sentido, y no responde a nada. He tenido que cambiarla y me he gastado el doble de dinero. Nada recomendado.",0
"I use these gloves to handle hot cast iron pans. If I hold on to the pans too long, I can burn myself. I haven't burned my hands, but it gets extremely hot. These are not anywhere near as heat resistant as the pictures would have you believe. They show a flame underneath a glove -- yes, the glove won't burn, but your hands will.",0
"La red no está mal, las sujeciones són terribles... Se rompieron las anillas metálicas a los dos días. Tuvimos que hacer un apaño con belcros.",0
"Compré dos y se acoplan perfectamente. Tienen bastante capacidad. No son endebles como yo pensé al comprarlos, por el precio... grata sorpresa. Al menos los que yo he recibido, no tienen ni un pequeño raspón, nada, todo está perfecto. Muy prácticos. Buena compra. (añado fotos)",1
"Muy práctico y sencillas las recetas, para los cocinillas como yo esta fenomenal",1
This is high quality spice. This is my first experience with Sumac for making Mediterranean dishes. Love it!,1
Es menos de lo que esperaba casi ni se escucha la voz del audio,0
No me gusta. Mi ceja es negra y pese a pedir el tono más oscuro se queda muy claro. Además tiene como una purpurina que hace que la ceja se vea muy artificial. Se nota que llevas algo ahí pegado. La sensación que da cuando te lo pones es muy tirante. Notas como te tira la piel. Lo compré porque me habían hablado muy bien. Pero no me ha gustado nada.,0
"Quería un auricular con cancelación de ruido para el trabajo. Estos son perfectos, la batería dura mucho tiempo y es muy cómoda. Lo ama y te permite apagar el ruido por separado. No tengo quejas hasta el momento.",1
Recibido recientemente y todavía no hemos comprobado bien su precisión en cuanto a la presión atmosférica pero la temperatura y la humedad la da perfectamente. Encaja perfectamente con el entorno del salón y la relación calidad/precio esta bien.,1
NO sé porque razón me envían el reembolso del pedido cuando nunca lo he devuelto. No me dan ningún motivo por el cual no me lo han entregado. Era un regalo de Papa Noel y encuentro sin regalo y sin explicaciones. MUY MAL. Pongo una estrella porque no puedo dejarlo en blanco.,0
"La rapidez en la entrega, su uso ha sido de regalo",1
Mi bonsai ha vuelto a venir sin el plato. Creo que esto es muy inconveniente porque mancha cualquier zona donde deje el bonsai después de trasladarlo al haberlo regado. Además es menos estético sin el plato.,0
según correo llegarían el 22 de Mayo y todavía no han llegado .,0
Haven't tried yet. Was wondering if I should still take my thyroid medicine with this as well. Really hoping to try it and see if it works.,0
"La idea está bien, los materiales están bien, pero por más agua que echemos (hemos llegado a echarla directamente sobre la colcha) a penas se aprecian los colores. No es como en la imagen, que parece que han pintado con rotuladores. Pero bueno, que no manchas la casa y la niña no se da ni cuenta de estos detalles, ella con mojarlo todo es feliz, y nosotros con ella :)",0
"Igual a la foto, buena calidad, queda genial",1
No me llegó el paquete así que no puedo opinar,0
Caro para lo que es y encima la rosca del barrilete se deshace sola,0
"Buaaa es genial. Tengo el pelo muy largo y con pocas pasadas lo desenreda, y sin dolor ni tirones. Es bastante grande de tamaño.",1
