review,label
This is a neat toy. It is fun to play with. The track pieces snap together easily. It keeps kids entertained. It comes with dinosaurs. It is made very well.,1
"It came right on time, looks fantastic. I gave it 4 stars instead of 5 because of the price a little to high but it supposed to be handmade so it balances it off.",1
This is great! My 8 month old thinks he can walk already but doesn't have the best balance. This gives him the support he needs so he can move with more stability. He doesn't always love wearing it because he likes us to hold his hands. But I think this will help him get more comfortable and start walking really soon,1
"I wish there was a way to make this no stars. I took our 12.5 lb Aussie Doodle puppy, 4 months old, for her first walk on this new leash. WOW! She is teething badly, but I didn't think anything of it. Her previous nylon leash lasted for two months before I wanted to order a new one for her. We got two blocks down from the house and low and behold, she had this thing to almost ripped in apart and she would have taken off!! I had to pick her up and carry her back home! Terrible leash but Amazon was quick as usual to offer a full refund. I am going with a totally different brand and style.",0
I like how the case looks I really do but it is already coming apart I have had it for 1 day and it is making my Face ID not work. The looks of the case can not get it more then 2 stars.,0
These are freaking adorable! I hung pictures from them. I had these rated a 5 star when i first got them up until I’ve had them for two days and the lights went out. Changed the batteries & still won’t work. All the clips worked fine & it was cute. But the whole point was to have a suttle light & they stopped working. Return started.,0
"optical zoom is great, but the algorithm used to provide focus correction actually fuzzes up the picture. This is written about in the reviews and is annoying at 40x optical zoom.",1
"It tears off your hair and it hurts, but you can see nasty stuff on the mask after. Make sure to moisturize before you put on and after because it does dry your skin out, and make sure to have something to close your pores because you’ll break out if you don’t",1
"My guests loved the personalized keychain, it came with the bags which made them very presentable. The keychain is functional being a bottle opener too.",1
I highly recommend this product. I ordered these for my grandchildren to share a bit of the UK. Our uncle would send them to us every year and I wanted to share the wonderful memory. They arrived on time and in perfect condition. I'm a bit partial but I think Cadbury is the very best in quality and flavour.,1
"My kids all have their own laundry hampers. My daughters broke and so I got this one, I like that it is slim and fits in a small place. It's not huge but I didn't want huge because that means I let the laundry build longer. Great hamper!",1
I was informed it arrived I got all the other items but not this the hoverboard case was the only thing missing,0
Loved the book and how quick of a read it is,1
Following thier sizing instructions and they don't come close to fitting properly.,0
"By the time I got to this dress and tried it on, I was fed up with ordering on line.",0
This item got all torn up after only 6 months. Wrote to the company to see if they would do something to possibly return or refund and never heard any response.Waited to even write this review giving them an opportunity. Even for 50.00 I feel like the purse should of held up better than this. Stitching comes out very easy and IS NOT something I would trust with my gun. BE AWARE,0
The brush is small yet solid and does a bang-up job on removing embedded hair on brushes. Will purchase for others as gifts - thank you!,1
Very soft & easy to use. My belly isn't very large yet & this sits more on the lower stomach than under it. I think this product would be best when you're further along & your stomach is larger.,1
Doesn't do a good job measuring smaller increments.,0
I love the idea and how easy they were to use But one the clip broke with in hours of using it I was able to replace the hook with one I bought at the store,0
I miss their old design. Too hard to get my little one into this. Notice that the shoulder strap attaches to the door. I need to have the bag on my shoulder to get my dog in properly. So disappointed. Found older version on EBay and bought 3 of them!,0
Very tight fit in the fingers. Hand fit is good. Never have had to wear a workout glove larger than a large.,0
Very nice to store bills,1
I've had this case for just 6 months and the case cracked and then broke.,0
"Bought this item for my 5 yr old son and he loves it, makes him feel like a big boy. Makes homework time go by a lot quicker since all his supplies are in one place.",1
Quality of the sunglasses don’t match up with the price. The lens looks flimsy and the frame is uneven.,0
I use this for bedtime. It helps everyone sleep better.,1
"It didn’t last one winter. It tore, and was brittle by spring.",0
"The Marino Avenue brand Men’s low cut socks are of good quality. I put them through one cycle of hot water washing and drying and they stood up to the challenge. What I like best is the color choices on the socks. The green, yellow, red, and black one is my favorite combo.",1
"Thank you, we are very happy with the item. Looks and feels great. Very easy to maintain. Highly recommended",1
Super warm and stylish hat but runs large on me. Well made and washed well without fading or losing its shape.,1
"Product works as advertised. I've only used it to hold a sponge, and it works perfectly for that application",1
"Personally, I couldn’t get past the scent of this. I don’t know wtf it’s supposed to be, but it smells just awful walking around and having it in my nostrils all day. No thanks!",0
Everything was as stated. Recommend for anyone who needs more bands for there Apple Watch.,1
So the set up was a nightmare took hrs to set up. Can only be done on your phone. What helped me was turing off my cell data. Haven’t tried the music or any special features yet. Really just need it to check on the kids. Would recommend if your willing to save money for a decent product with a lot of work to set up.,1
I needed this book in my life.,1
"Great value, will purchase again in future",1
Lights constantly flicker,0
"In the Q&A section it states ""glass"" but it is plastic. Works fine, but I do not like getting misled, so I returned it.",0
Looking forward to the next volume in this series.,1
Great fit... very warm.. very comfortable,1
These need time to recover from shipping...like a few hours to adjust to your room and show similar readings. There were pretty accurate compared to other thermostats and thermometers but I wouldn’t bet my life on the accuracy. If you need lab quality you’ll probably have to spend more than a couple dollars but for most projects these should be fine.,1
It not like the picture very disappointed ☹️,0
"It Cuts extremely well. I'll give it a 5. The blade turned on the edge brownish, but I worked on it & it's okay still cuts. Good for the money for simple cuts. My observation. Adult supervision extremely advised.",1
