review,label
La ventosa se acaba despegando. Me duró cinco dias de vacaciones,0
Es buena es como la original. Mantiene bien la carga después de 4 meses de uso no como otras. gracias,1
Se lavan genial y son muy suaves,1
"No pegan nada, necesitan mucha cola para que se queden pegados.",0
"Muy buena pinta, me viene a la perfección",1
"I bought this for my sister and she has been using it for a while. So far good. Though it cannot handle very top notch apps but that is expected for a phone of this price range. It heats up a little sometimes but that has not been a big issue this far. Overall, it’s a good phone for the price.",1
"Cumple su función , pero le encuentro algo pesado, el que traía la maquina era más rápido y ligero, claro también se estropeo antes",1
"Estos protectores son demasiado grandes y son difíciles de colocar bien porque se arrugan por todas partes. Eso sí, son muy suaves y como limpiadores de cara, para retirar el jabón o aceite limpiador, van genial (5 estrellas).",0
You have assemble it looks like a DIY project to me. Cheap materials.,0
Llevo comprando en AMAZON desde 2015 y este hasta ahora ha sido el peor producto que he comprado calidad-precio el Faltas -Sistema operativo pésimo -Se queda pillado cada vez que lo enciendes -La cámara pésima -La memoria mala TODAS ESTA FALTAS REFERENTE A COMO SE ANUNCIA EN CONCLUSIÓN NO LO RECOMIENDO,0
Lo que me parece VERGONZOSO es que un producto que vas a montar tú en casa venga sin instrucciones de montaje. FATAL,0
Esta bien cosida y la calidad de la piel es buena. Caben las cosas imprescindibles y sobran bolsillos. La hebilla hace un poco de ruido a metal.,1
Un pelín más grande sería genial,1
Tamaño para 4-5 tazas. No se salta la pintura ni el esmalte interior. Compra recomendada,1
"Me ha encantado, queda precioso y compraré más para el resto de ventanas, la ventana tiene que ser lisa y tener un poco de paciencia para ponerlo, pero da privacidad y una luz muy bonita.",1
"We bought these for our 4 year old. However, she can’t use them because the volume control doesn’t work. As a result, they have one volume. LOUD. We can’t even use them because the volume is so loud. I believe it’s too late for us to return, but if it keeps someone else from having the same issue we did I thought it would be worth noting for a review.",0
No llego todas las piezas me falta la uña que engacha al scooter sólo venía con tornillos en una bolsa y la caja venía abierta posiblemente se ha perdido con el trasporte .,0
"No es pesada, tiene calidad pero una vez puesta es un poco pequeña",1
Honestly this says 10oz my bottles I received wore a 4oz bottle,0
Fue para un regalo y quedaron encantados,1
"Además de que no encaja en MacBook Touch Bar 2019, el plástico es muy flojo y no creo que proteja mucho",0
"la verdad que no va muy bien las almendras giran i no las coge, le hace falta agarre le tuve que hacer unos retoques y asi rompe algunas, yo personalmente no la recomiendo y por supuesto no la volveria a comprar",0
"El articulo es demasiado grande. A demás tardan un montón en llegar; hasta olvidé que los había pedido... si esto fuera poco, al ser solo uno y tan grande resulta bastante inutil",0
"Muy mal, se traba la cuerda, se ve muy fragil.",0
"Estoy muy contenta con la compra. La mochila es de muy buena calidad y muy práctica. En total, tiene dos pequeños departamentos, lo que es muy útil para organizar tus cosas dentro. Ya me lo he llevado varias veces, queda vien a cualquier ropa. Creo que es posible llevarlo tanto a pasear como al trabajo. La verdad es que dudo mucho que sea de cuero, porque no huele a piel, sino que tiene un olor desagradable. Pero esto es sólo la única desventaja, en general es una buena mochila. Lo recomiendo!",1
"El artículo es correcto y la transacción también. Lo único a mejorar es que el neopreno es un poco fino, y otras fundas son más gruesas",1
"Llegó con una abolladura, lo que hace que no me satisfaga del todo. Tampoco me molesta tanto como para tomarme la molestia en devolverlo. A mi me gusta mucho el estilo, queda genial detrás de la puerta para colgar llaves y correspondencia y dejar notitas con caras felices. Es un poco caro",0
"La calida de imagen es muy buena tanto con luz como nocturna. Es muy estetica por lo que no desentona con el entorno. Ha de tener un enchufe bastante cerca. No he conseguido que detecte el movimiento. Mande un email al fabricante preguntando y de momento sin respuesta. Tampoco es bidireccional el tema de la voz. Si le hablas a la camara lo oyes en el movil, pero al reves no",1
"La funda es muy bonita y queda muy bien con telefono azul, pero al ponerla se levanta do todos lados el cristal protector de pantalla. Ya no sé, si otros cristales son un pelín mas pequeños para que queden bien con la funda. Con mi otra funda de silicona no pasa. Entonces no la uso.",0
